epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.14598,2.65564,4.17685,1.77347,0.00561,0.55882,0.01209,0.00499,2.23218,3.45066,1.17299,0,0,0
2,4.1634,2.49273,4.02645,1.87155,0.00552,0.55882,0.01209,0.00503,2.23759,3.45037,1.17448,1.63399e-05,1.63399e-05,1.63399e-05
3,6.04887,2.56707,4.12017,1.75633,0.00542,0.55882,0.01201,0.00512,2.20682,3.45109,1.16691,3.20197e-05,3.20197e-05,3.20197e-05
4,7.8446,2.64954,4.1419,1.84168,0.00534,0.55882,0.033,0.00731,2.15675,3.45502,1.15674,4.70394e-05,4.70394e-05,4.70394e-05
5,9.80139,2.30708,4.06305,1.62533,0.00523,0.55882,0.04284,0.00821,2.13523,3.46243,1.15717,6.13989e-05,6.13989e-05,6.13989e-05
6,11.6483,2.29222,3.88311,1.57823,0.00511,0.55882,0.03857,0.00768,2.11353,3.46672,1.16131,7.50984e-05,7.50984e-05,7.50984e-05
7,13.5164,2.27494,3.82272,1.52546,0.00499,0.55882,0.06294,0.01312,2.18282,3.48068,1.17656,8.81376e-05,8.81376e-05,8.81376e-05
8,15.4863,2.22112,3.70042,1.51574,0.00454,0.52941,0.04882,0.01508,2.19372,3.49036,1.17061,0.000100517,0.000100517,0.000100517
9,17.4045,1.96357,3.57549,1.24849,0.00427,0.52941,0.06445,0.02756,2.14785,3.49102,1.16113,0.000112236,0.000112236,0.000112236
10,19.2852,2.22863,3.54758,1.37407,0.004,0.52941,0.18164,0.09678,2.11569,3.48472,1.15463,0.000123295,0.000123295,0.000123295
11,21.2078,1.93743,3.23706,1.25777,0.00377,0.52941,0.46383,0.26202,2.09625,3.47842,1.15883,0.000133693,0.000133693,0.000133693
12,23.1266,1.97898,3.13999,1.15074,0.00329,0.5,0.4975,0.26173,2.11646,3.45446,1.17561,0.000143432,0.000143432,0.000143432
13,25.2268,1.94657,2.94712,1.2175,0.00318,0.5,0.4975,0.26572,2.08118,3.43902,1.17535,0.00015251,0.00015251,0.00015251
14,27.1467,1.95858,2.70102,1.13955,0.00421,0.58824,0.4977,0.26278,2.0443,3.39472,1.17467,0.000160929,0.000160929,0.000160929
15,29.1233,1.83298,2.5263,1.11399,0.00457,0.61765,0.49785,0.2367,2.01884,3.33568,1.18451,0.000168687,0.000168687,0.000168687
16,31.1942,1.82382,2.1671,1.16782,0.00564,0.70588,0.49855,0.1701,1.95977,3.30392,1.19492,0.000175785,0.000175785,0.000175785
17,33.3019,1.96398,2.18127,1.21476,0.00634,0.76471,0.49933,0.12493,1.8193,3.2279,1.16639,0.000182223,0.000182223,0.000182223
18,35.2784,2.00884,1.97966,1.2073,0.00634,0.76471,0.49933,0.12493,1.8193,3.2279,1.16639,0.000188001,0.000188001,0.000188001
19,37.2972,1.89513,2.03303,1.13676,0.00605,0.73529,0.49949,0.19506,1.77092,3.15205,1.14255,0.000193119,0.000193119,0.000193119
20,39.2807,1.92172,1.96561,1.09883,0.00605,0.73529,0.49949,0.19506,1.77092,3.15205,1.14255,0.000197576,0.000197576,0.000197576
21,41.4457,1.81437,1.78518,1.1207,0.00704,0.82353,0.48409,0.31335,1.80251,3.07292,1.11995,0.000201374,0.000201374,0.000201374
22,43.5413,1.88096,1.71821,1.13581,0.00704,0.82353,0.48409,0.31335,1.80251,3.07292,1.11995,0.000204511,0.000204511,0.000204511
23,45.7127,1.7478,1.72735,1.11236,0.00799,0.91176,0.50298,0.32869,1.81179,3.03011,1.1111,0.000206988,0.000206988,0.000206988
24,47.8238,1.88071,1.73116,1.19005,0.00799,0.91176,0.50298,0.32869,1.81179,3.03011,1.1111,0.000208805,0.000208805,0.000208805
25,50.0066,2.09048,1.6149,1.167,0.00832,0.94118,0.50514,0.31425,1.85059,2.98037,1.11434,0.000209962,0.000209962,0.000209962
26,52.1188,1.73972,1.46925,1.11737,0.00832,0.94118,0.50514,0.31425,1.85059,2.98037,1.11434,0.000210459,0.000210459,0.000210459
27,54.2772,1.70614,1.45476,1.13143,0.00866,0.97059,0.50824,0.30879,1.85819,2.93098,1.11197,0.000210295,0.000210295,0.000210295
28,56.4064,1.73754,1.4037,1.1106,0.00866,0.97059,0.50824,0.30879,1.85819,2.93098,1.11197,0.000209472,0.000209472,0.000209472
29,58.5734,1.79198,1.43316,1.1639,0.00899,1,0.51252,0.31909,1.81409,2.86865,1.11249,0.000207988,0.000207988,0.000207988
30,60.6019,1.74158,1.2458,1.14438,0.00899,1,0.51252,0.31909,1.81409,2.86865,1.11249,0.000205844,0.000205844,0.000205844
31,62.7077,1.67966,1.23414,1.08194,0.00886,0.97059,0.513,0.32311,1.81655,2.81764,1.12265,0.000203041,0.000203041,0.000203041
32,65.0833,1.60817,1.24387,1.11333,0.00886,0.97059,0.513,0.32311,1.81655,2.81764,1.12265,0.000199577,0.000199577,0.000199577
33,67.3595,1.77299,1.19474,1.07529,0.0087,0.94118,0.53976,0.31512,1.77806,2.78151,1.11999,0.000195452,0.000195452,0.000195452
34,69.4678,1.80274,1.34833,1.16413,0.0087,0.94118,0.53976,0.31512,1.77806,2.78151,1.11999,0.000190668,0.000190668,0.000190668
35,71.7325,1.72172,1.23735,1.14264,0.00876,0.94118,0.60962,0.34687,1.7318,2.75246,1.10795,0.000185224,0.000185224,0.000185224
36,73.8382,1.76212,1.25055,1.15884,0.00876,0.94118,0.60962,0.34687,1.7318,2.75246,1.10795,0.000179119,0.000179119,0.000179119
37,76.0182,1.73752,1.20045,1.10433,0.00917,1,0.74633,0.40133,1.76395,2.7274,1.11242,0.000172354,0.000172354,0.000172354
